freq,velocity,force
349.0,6.82341e-05,-0.00413139
349.5,6.66292e-05,-0.00412174
350.0,6.71728e-05,-0.0040998
350.5,6.86355e-05,-0.00408447
351.0,7.13856e-05,-0.00407381
351.5,7.02728e-05,-0.00405459
352.0,6.85181e-05,-0.0040402
352.5,7.12285e-05,-0.00402633
353.0,7.22021e-05,-0.00401098
353.5,7.24531e-05,-0.00399613
354.0,7.05214e-05,-0.00398627
354.5,7.30544e-05,-0.003967
355.0,7.4414e-05,-0.00394826
355.5,7.29093e-05,-0.00393339
356.0,7.24764e-05,-0.00391939
356.5,6.99619e-05,-0.00390969
357.0,6.91823e-05,-0.00389968
357.5,7.07662e-05,-0.00387917
358.0,7.66561e-05,-0.00386196
358.5,7.41241e-05,-0.00384882
359.0,7.15648e-05,-0.003839
359.5,6.84389e-05,-0.00381743
360.0,6.95514e-05,-0.00380305
360.5,7.26988e-05,-0.00378896
361.0,7.38748e-05,-0.0037742
361.5,7.42188e-05,-0.00376046
362.0,7.45255e-05,-0.00374738
362.5,7.22258e-05,-0.00373389
363.0,7.24894e-05,-0.00371698
363.5,7.26292e-05,-0.00369999
364.0,7.42753e-05,-0.00368588
364.5,7.06801e-05,-0.00367564
365.0,7.08731e-05,-0.00366155
365.5,7.24304e-05,-0.00364781
366.0,7.41762e-05,-0.00363258
366.5,7.3846e-05,-0.00361904
367.0,7.25521e-05,-0.00360237
367.5,7.01927e-05,-0.00358873
368.0,7.06719e-05,-0.00357465
368.5,7.10258e-05,-0.00355817
369.0,7.20218e-05,-0.0035448
369.5,7.06384e-05,-0.00353343
370.0,6.74628e-05,-0.00351388
370.5,6.69358e-05,-0.00350094
371.0,6.9522e-05,-0.00348618
371.5,7.05457e-05,-0.00347345
372.0,7.0177e-05,-0.00345847
372.5,7.08931e-05,-0.00344315
373.0,7.06734e-05,-0.00343097
373.5,7.23153e-05,-0.00341478
374.0,7.23627e-05,-0.00340188
374.5,7.08125e-05,-0.00338835
375.0,7.07162e-05,-0.00337355
375.5,6.94546e-05,-0.00336339
376.0,6.94176e-05,-0.0033461
376.5,7.04284e-05,-0.00333074
377.0,7.1607e-05,-0.00331875
377.5,7.05305e-05,-0.00330449
378.0,6.93652e-05,-0.00329037
378.5,7.02633e-05,-0.00327599
379.0,6.96382e-05,-0.00326396
379.5,6.961e-05,-0.00324784
380.0,7.11302e-05,-0.00323358
380.5,7.15662e-05,-0.00321748
381.0,6.9891e-05,-0.00320345
381.5,6.92727e-05,-0.00319161
382.0,7.06922e-05,-0.00317859
382.5,7.08479e-05,-0.00316512
383.0,7.0765e-05,-0.00315118
383.5,6.91674e-05,-0.00313613
384.0,6.86774e-05,-0.00312031
384.5,6.88464e-05,-0.00310863
385.0,6.89021e-05,-0.00309404
385.5,7.01197e-05,-0.00308033
386.0,7.06603e-05,-0.0030668
386.5,6.97383e-05,-0.00305011
387.0,7.0829e-05,-0.00303728
387.5,6.96769e-05,-0.00302337
388.0,6.91806e-05,-0.00301005
388.5,6.84732e-05,-0.00299718
389.0,6.74536e-05,-0.00298193
389.5,6.84601e-05,-0.00296902
390.0,6.84145e-05,-0.00295272
