freq,Coherence
59.5,0.999664
60.0,0.999698
60.5,0.999602
61.0,0.999676
61.5,0.999547
62.0,0.9996
62.5,0.999535
63.0,0.999478
63.5,0.999499
64.0,0.999479
64.5,0.999417
65.0,0.999355
65.5,0.999138
66.0,0.999487
66.5,0.999136
67.0,0.999096
67.5,0.998806
68.0,0.998929
68.5,0.998785
69.0,0.998417
69.5,0.998654
70.0,0.997508
70.5,0.998039
71.0,0.997099
71.5,0.99684
72.0,0.995911
72.5,0.994004
73.0,0.992739
73.5,0.990083
74.0,0.985464
74.5,0.978396
75.0,0.948584
75.5,0.876126
76.0,0.569411
76.5,0.531828
77.0,0.843015
77.5,0.93777
78.0,0.977118
78.5,0.981259
79.0,0.989165
79.5,0.989951
80.0,0.993869
80.5,0.994286
81.0,0.99623
81.5,0.996375
82.0,0.996893
82.5,0.997169
83.0,0.997882
83.5,0.997774
84.0,0.99808
84.5,0.998568
85.0,0.998488
85.5,0.998563
86.0,0.998666
86.5,0.998708
87.0,0.999133
87.5,0.998813
88.0,0.999003
88.5,0.999075
89.0,0.999058
89.5,0.999146
90.0,0.999261
90.5,0.999013
91.0,0.999263
91.5,0.999314
92.0,0.999253
92.5,0.999276
93.0,0.999335
93.5,0.999345
94.0,0.999453
94.5,0.999395
95.0,0.999236
95.5,0.999436
96.0,0.999294
96.5,0.999478
97.0,0.999379
97.5,0.999287
98.0,0.999538
98.5,0.999231
99.0,0.999435
99.5,0.999283
100.0,0.999369
100.5,0.999305
101.0,0.999462
101.5,0.999349
102.0,0.999253
102.5,0.999309
103.0,0.999246
103.5,0.999392
104.0,0.999204
104.5,0.999318
105.0,0.998969
105.5,0.999173
106.0,0.999378
106.5,0.999082
107.0,0.999237
107.5,0.998754
108.0,0.999199
108.5,0.998981
109.0,0.998607
109.5,0.999052
110.0,0.998897
110.5,0.998421
111.0,0.998617
111.5,0.998314
112.0,0.998424
112.5,0.998229
113.0,0.997797
113.5,0.997459
114.0,0.997515
114.5,0.996757
115.0,0.994558
115.5,0.996382
116.0,0.994757
116.5,0.992903
117.0,0.990383
117.5,0.985372
118.0,0.981978
118.5,0.964596
119.0,0.935093
119.5,0.846003
120.0,0.513056
120.5,0.69255
121.0,0.906032
121.5,0.951705
122.0,0.972297
122.5,0.990606
123.0,0.983856
123.5,0.992727
124.0,0.992542
124.5,0.996268
125.0,0.995729
125.5,0.997107
126.0,0.997555
126.5,0.998318
127.0,0.997806
127.5,0.998553
128.0,0.998398
128.5,0.99885
129.0,0.998802
129.5,0.999224
130.0,0.99912
130.5,0.999128
131.0,0.999343
131.5,0.999368
132.0,0.999352
132.5,0.999286
133.0,0.999608
133.5,0.999552
134.0,0.9995
134.5,0.999618
135.0,0.999565
135.5,0.999565
136.0,0.999724
136.5,0.999689
137.0,0.999751
137.5,0.999707
138.0,0.999686
138.5,0.999744
139.0,0.99969
139.5,0.999811
140.0,0.999795
140.5,0.999846
