% Model,beam.mph
% Version,COMSOL 6.1.0.282
% Date,"Mar 20 2023, 10:13"
% Table,Evaluation Group 1 - 
% freq (Hz),"Displacement magnitude (cm), Point: 6"
314,0.025036750500210793
315,0.024777278993161383
316,0.024520357745929977
317,0.024265979925286372
318,0.024014170278925783
319,0.023765031407241063
320,0.023518909855412495
321,0.02327731518289043
322,0.023060887493044607
323,0.02276802405093036
324,0.022539442069888727
325,0.022305512281821097
326,0.02207232271196252
327,0.021840725541454626
328,0.021610949406775416
329,0.021383066757882135
330,0.021157095981110166
331,0.020933032835883505
332,0.020710862392036695
333,0.020490564311142368
334,0.02027211533492075
335,0.02005549062969174
336,0.019840664527879193
337,0.019627610966808044
338,0.019416303756035296
339,0.019206716722952072
340,0.018998823835391237
341,0.018792599281837
342,0.018588017484779656
343,0.01838505314644703
344,0.01818368127951308
345,0.01798387720221845
346,0.017785616542180263
347,0.01758887525785362
348,0.017393629622801863
349,0.01719985623471062
350,0.017007531992780534
351,0.016816634128535696
352,0.016627140163080683
353,0.016439027936846956
354,0.016252275580226013
355,0.016066861515867045
356,0.015882764457610568
357,0.015699963394568896
358,0.015518437593023494
359,0.015338166595725108
360,0.015159130200072384
361,0.014981308467556968
362,0.014804681700898744
363,0.014629230468347479
364,0.014454935560427871
365,0.014281778013119155
366,0.014109739087410247
367,0.01393880026900791
368,0.013768943264331368
369,0.013600149989401226
370,0.013432402570004809
371,0.013265683335802997
372,0.013099974811511605
373,0.012935259718357869
374,0.012771520953366505
375,0.012608741617710787
376,0.012446904968752942
377,0.012285994446882756
378,0.012125993663514146
379,0.011966886385471378
380,0.011808656547456916
381,0.011651288228472766
382,0.01149476567101199
383,0.011339073246342698
384,0.01118419548438227
385,0.011030117036013103
386,0.010876822698704016
387,0.010724297393460884
388,0.01057252615966362
389,0.01042149416466055
390,0.010271186688966889
391,0.01012158912763283
392,0.0099726869790027
393,0.009824465849047847
394,0.00967691144436825
395,0.00953000956644303
396,0.009383746109599442
397,0.009238107058863135
398,0.009093078480675023
399,0.008948646526990758
400,0.008804797422062537
401,0.00866151746632329
402,0.008518793035666893
403,0.008376610559851458
404,0.008234956540080175
405,0.008093817539737204
406,0.007953180167434149
407,0.007813031091455045
