freq,velocity,force
142.5,-2.0947e-05,-0.000343367
143.0,-1.29724e-05,-0.000440239
143.5,-1.99232e-06,-0.000524613
144.0,-5.28936e-06,-0.0006614
144.5,-1.02692e-05,-0.000745276
145.0,1.35976e-06,-0.000821211
145.5,-5.35823e-06,-0.000890208
146.0,-5.1936e-06,-0.00099155
146.5,1.22431e-05,-0.00107532
147.0,2.13985e-05,-0.00114142
147.5,2.2725e-05,-0.00120295
148.0,2.5054e-05,-0.0012578
148.5,3.27743e-05,-0.00133631
149.0,3.63019e-05,-0.00139733
149.5,3.33648e-05,-0.00144245
150.0,3.71152e-05,-0.00150407
150.5,4.21003e-05,-0.00154656
151.0,3.42535e-05,-0.00159976
151.5,4.42678e-05,-0.00165305
152.0,4.77102e-05,-0.00171028
152.5,4.33165e-05,-0.00175424
153.0,4.93924e-05,-0.00179388
153.5,4.032e-05,-0.00183199
154.0,4.22624e-05,-0.00187116
154.5,5.30427e-05,-0.00190625
155.0,6.26933e-05,-0.00196174
155.5,6.02945e-05,-0.00198229
156.0,6.71358e-05,-0.00201959
156.5,5.85963e-05,-0.00204946
157.0,4.55656e-05,-0.00208649
157.5,6.15742e-05,-0.00212283
158.0,6.51798e-05,-0.00214898
158.5,6.47175e-05,-0.00217012
159.0,6.80572e-05,-0.002196
159.5,6.9139e-05,-0.00223712
160.0,7.02078e-05,-0.00225159
160.5,6.96891e-05,-0.00228625
161.0,8.07842e-05,-0.00230444
161.5,8.57477e-05,-0.00232257
162.0,8.98607e-05,-0.00234038
162.5,8.31314e-05,-0.00236507
163.0,9.21365e-05,-0.00238711
163.5,0.000100391,-0.00240472
164.0,9.93111e-05,-0.00242549
164.5,9.11572e-05,-0.00243957
165.0,0.000105161,-0.00245751
165.5,0.000110525,-0.00247122
166.0,0.000118641,-0.00249828
166.5,0.000121644,-0.00252081
167.0,0.000122063,-0.00254639
167.5,0.000136057,-0.00255887
168.0,0.000141739,-0.00257726
168.5,0.000147288,-0.00259028
169.0,0.000153356,-0.00260798
169.5,0.000158789,-0.00261859
170.0,0.000169444,-0.0026223
170.5,0.000173042,-0.00265488
171.0,0.000159816,-0.00268636
171.5,0.000153154,-0.00270385
172.0,0.00016494,-0.00270347
172.5,0.000165818,-0.0027201
173.0,0.000172116,-0.00274602
173.5,0.000186477,-0.00276038
174.0,0.000198846,-0.00278853
174.5,0.000185603,-0.00278698
175.0,0.000192513,-0.0027977
175.5,0.000202791,-0.0028219
176.0,0.000217234,-0.00283841
176.5,0.000205728,-0.0028535
177.0,0.000196912,-0.00286025
177.5,0.000205472,-0.00286905
178.0,0.000222843,-0.00289128
178.5,0.000232095,-0.00291686
179.0,0.000219811,-0.00293001
179.5,0.00021785,-0.00295544
180.0,0.00022272,-0.00297648
180.5,0.000216902,-0.00297836
181.0,0.000212263,-0.00299339
181.5,0.000222722,-0.00301572
182.0,0.000214041,-0.0030348
182.5,0.000218304,-0.00306521
183.0,0.000230039,-0.00308811
183.5,0.000238326,-0.00308767
184.0,0.000242332,-0.00310929
184.5,0.000227853,-0.00311096
185.0,0.000223847,-0.00313178
185.5,0.000210388,-0.00314507
186.0,0.000196095,-0.0031773
186.5,0.000188074,-0.00318272
187.0,0.0001878,-0.00318553
187.5,0.000186156,-0.00321789
188.0,0.000171307,-0.0032264
188.5,0.000155686,-0.00323541
189.0,0.000152361,-0.0032662
189.5,0.00014748,-0.00328119
190.0,0.00014175,-0.00328622
190.5,0.000119747,-0.00328316
191.0,0.000108904,-0.00329348
191.5,9.41041e-05,-0.00332092
192.0,8.47722e-05,-0.00335317
192.5,6.91005e-05,-0.00336702
193.0,5.38801e-05,-0.00336262
193.5,4.74335e-05,-0.00336092
194.0,3.07927e-05,-0.00336866
194.5,1.07207e-06,-0.00339323
195.0,-2.96485e-05,-0.0033922
195.5,-3.40295e-05,-0.00340411
196.0,-5.00512e-05,-0.00340587
196.5,-7.0491e-05,-0.00340001
197.0,-7.20743e-05,-0.00340065
197.5,-9.18189e-05,-0.00340319
198.0,-0.000114215,-0.00339575
198.5,-0.000124435,-0.00340341
199.0,-0.000158079,-0.00341453
199.5,-0.00017479,-0.00342059
200.0,-0.000190506,-0.00339666
200.5,-0.000213712,-0.00338768
201.0,-0.000214751,-0.003378
201.5,-0.000220594,-0.00337853
202.0,-0.000235998,-0.0033848
202.5,-0.000245438,-0.00338633
203.0,-0.000256629,-0.00336755
203.5,-0.00026485,-0.00334882
204.0,-0.000293638,-0.00332375
204.5,-0.000301443,-0.00330878
205.0,-0.000308271,-0.00330431
205.5,-0.00030604,-0.00330069
206.0,-0.000303845,-0.0033008
206.5,-0.000315691,-0.00328776
207.0,-0.000328163,-0.00323397
207.5,-0.000325753,-0.0032293
208.0,-0.000354284,-0.00323269
208.5,-0.000389396,-0.00320202
209.0,-0.000373656,-0.00319738
209.5,-0.000370801,-0.00318448
210.0,-0.000353275,-0.00318033
210.5,-0.000354843,-0.00317846
211.0,-0.000359444,-0.00316817
211.5,-0.000353924,-0.0031442
212.0,-0.000357285,-0.00312469
212.5,-0.00037314,-0.00309678
213.0,-0.000342155,-0.00310222
213.5,-0.000332647,-0.003093
214.0,-0.000346708,-0.00307457
214.5,-0.000337872,-0.00306331
215.0,-0.000323029,-0.00304646
215.5,-0.000311626,-0.00302997
216.0,-0.000316238,-0.00303857
216.5,-0.000336019,-0.00303784
217.0,-0.000291838,-0.00300472
217.5,-0.000275829,-0.00299555
218.0,-0.000269237,-0.00298233
218.5,-0.000258949,-0.0029999
219.0,-0.000253465,-0.00300264
219.5,-0.000233333,-0.00298591
220.0,-0.000217137,-0.00298411
220.5,-0.000202627,-0.00299445
221.0,-0.000218128,-0.00300284
221.5,-0.000222847,-0.00300493
222.0,-0.000220782,-0.00301606
222.5,-0.000213841,-0.00301164
223.0,-0.000199301,-0.0030223
223.5,-0.000191973,-0.00301599
224.0,-0.000175801,-0.00300531
224.5,-0.000154576,-0.00301303
225.0,-0.000176905,-0.0030167
225.5,-0.000165601,-0.00302549
226.0,-0.000154482,-0.00301549
226.5,-0.000163425,-0.00303716
227.0,-0.000154807,-0.00304116
227.5,-0.00014764,-0.00304706
228.0,-0.000171423,-0.00305176
228.5,-0.000149493,-0.00306515
229.0,-0.000156533,-0.00306326
229.5,-0.000168733,-0.00306602
230.0,-0.000168911,-0.0030749
230.5,-0.000163686,-0.00307285
231.0,-0.000148827,-0.00306837
231.5,-0.000154982,-0.00307266
232.0,-0.000154871,-0.00309658
232.5,-0.000145967,-0.00308119
233.0,-0.00016455,-0.00306611
233.5,-0.000187038,-0.00307647
234.0,-0.000174337,-0.00306453
234.5,-0.000180094,-0.00307354
235.0,-0.00019009,-0.00307725
235.5,-0.000186263,-0.00308583
236.0,-0.000194269,-0.0030874
236.5,-0.000209087,-0.00307804
237.0,-0.000207451,-0.0030866
237.5,-0.000221034,-0.00310399
238.0,-0.000217172,-0.00309279
238.5,-0.000231631,-0.00309219
