freq,Coherence
201.5,0.999561
202.0,0.999683
202.5,0.999775
203.0,0.999412
203.5,0.999309
204.0,0.999472
204.5,0.999624
205.0,0.999459
205.5,0.999356
206.0,0.999432
206.5,0.99924
207.0,0.999174
207.5,0.999155
208.0,0.99908
208.5,0.999216
209.0,0.999258
209.5,0.999417
210.0,0.999447
210.5,0.999418
211.0,0.999586
211.5,0.999447
212.0,0.999157
212.5,0.999214
213.0,0.999478
213.5,0.999437
214.0,0.999296
214.5,0.998973
215.0,0.999255
215.5,0.999189
216.0,0.99897
216.5,0.998894
217.0,0.999518
217.5,0.999648
218.0,0.999348
218.5,0.999584
219.0,0.999484
219.5,0.999413
220.0,0.999475
220.5,0.999614
221.0,0.99965
221.5,0.999293
222.0,0.999088
222.5,0.99938
223.0,0.999438
223.5,0.999382
224.0,0.999183
224.5,0.999603
225.0,0.999664
225.5,0.999594
226.0,0.999307
226.5,0.999325
227.0,0.999241
227.5,0.999588
228.0,0.999674
228.5,0.999283
229.0,0.999011
229.5,0.999376
230.0,0.999583
230.5,0.999426
231.0,0.999664
231.5,0.999687
232.0,0.999506
232.5,0.999506
233.0,0.999626
233.5,0.999447
234.0,0.999314
234.5,0.999492
235.0,0.999426
235.5,0.999165
236.0,0.99929
236.5,0.99958
237.0,0.999559
237.5,0.999462
238.0,0.999511
238.5,0.999501
239.0,0.999609
239.5,0.999257
240.0,0.999075
240.5,0.999494
241.0,0.999623
241.5,0.999617
242.0,0.999739
242.5,0.99962
243.0,0.99931
243.5,0.999491
244.0,0.999343
244.5,0.99883
245.0,0.998655
245.5,0.999073
246.0,0.99929
246.5,0.999442
247.0,0.999538
247.5,0.999396
248.0,0.99968
248.5,0.999806
249.0,0.999697
249.5,0.999491
250.0,0.999157
250.5,0.999379
251.0,0.999441
251.5,0.999303
252.0,0.999458
252.5,0.999539
253.0,0.99929
253.5,0.9995
254.0,0.999462
254.5,0.999674
255.0,0.999661
255.5,0.999328
256.0,0.99939
256.5,0.99959
257.0,0.999527
257.5,0.99947
258.0,0.999505
258.5,0.999656
259.0,0.999602
259.5,0.99954
260.0,0.999451
260.5,0.999539
261.0,0.999511
261.5,0.99912
262.0,0.999092
262.5,0.999333
263.0,0.999438
263.5,0.999504
264.0,0.999569
264.5,0.999617
265.0,0.99934
265.5,0.999148
266.0,0.999281
266.5,0.999626
267.0,0.999635
267.5,0.999637
268.0,0.99959
268.5,0.999687
269.0,0.999472
269.5,0.999103
270.0,0.999342
270.5,0.999405
271.0,0.999627
271.5,0.999548
272.0,0.999426
272.5,0.999511
273.0,0.999633
273.5,0.999572
274.0,0.99913
274.5,0.999413
275.0,0.999704
275.5,0.999693
276.0,0.999698
276.5,0.999597
277.0,0.999447
277.5,0.999609
278.0,0.999523
278.5,0.999546
279.0,0.999442
279.5,0.999534
280.0,0.999618
280.5,0.999591
281.0,0.999453
281.5,0.999488
282.0,0.999628
282.5,0.99963
283.0,0.99958
283.5,0.999659
284.0,0.999565
284.5,0.999719
285.0,0.999775
285.5,0.99968
286.0,0.999687
286.5,0.999588
287.0,0.999654
287.5,0.999635
288.0,0.999733
288.5,0.99972
289.0,0.999633
289.5,0.999721
290.0,0.999741
290.5,0.999746
291.0,0.999715
291.5,0.999758
292.0,0.999544
292.5,0.999279
293.0,0.999382
293.5,0.999527
294.0,0.999639
294.5,0.999533
295.0,0.999555
295.5,0.999499
296.0,0.999249
296.5,0.999423
297.0,0.999438
297.5,0.999438
298.0,0.999353
298.5,0.999348
299.0,0.999318
299.5,0.999465
300.0,0.999401
300.5,0.999366
301.0,0.999448
301.5,0.99944
302.0,0.999605
302.5,0.999663
303.0,0.999475
303.5,0.999416
304.0,0.999103
304.5,0.999258
305.0,0.999584
305.5,0.999382
306.0,0.999551
306.5,0.99933
307.0,0.999463
307.5,0.999687
308.0,0.999643
308.5,0.99955
309.0,0.999541
309.5,0.99936
310.0,0.998836
310.5,0.998799
